text,label,annotator
"الحماديون أو بنو حماد (باللغة الأمازيغية: ⴰⵢⵜ ⵃⵎⵎⴰⴷ: وتنطق آيت حماد) سلالة صنهاجية  حكمت جزءا من المغرب الإسلامي ما بين 1014 إلى 1152. تأسست سلالة الحماديين في 1014 من طرف حماد بن بلكين الابن الثاني لبلقين بن زيري، بعد الانفصال عن سلالة الزيريين بعد صراع عن الخلافة. أقام حماد بن بلكين دولة بني حماد أو الدولة الحمادية التي تمثل أول دولة بربرية مستقلة تحكم المغرب الأوسط في العصر الإسلامي. بدأ تاريخها الحقيقي حين بنى حماد القلعة، وتعاقب على حكم هذه الدولة تسعة أمراء، اختلفوا قوةً وضعفًا وأسلوب حكم، وكان آخرهم يحيى بن العزيز الحمّادي، كما تركت منشآت عمرانية ومعالم حضارية بارزة إلى الآن.

الحماديون فرع من الزيريين حكام إفريقية. أسس دولتهم حماد بن بلكين (1007-1028 م) تولى حكم آشير (الجزائر حاليا) من قبل بنو أعمامه الزيريين. بنى عاصمته القلعة عام 1007 م ثم أعلن الدعوة العباسية سنة 1015 م واستقل بالحكم. إلا أنه لم يتم الاعتراف بدولته إلا بعد حروب كثيرة خاضها ابنه القايد (1028-1054 م) مع الزيريين. اعترف هؤلاء في النهاية باستقلال دولة الحماديين.

التاريخ 

في 972 عندما كان المغرب تحت الحكم الفاطمي غادر الخليفة المعز لدين الله المغرب ليستقر في القاهرة.

تم توكيل السلطة في المغرب إلى بولوغين (972-984) رئيس قبيلة صنهاجة رافق هذا التوكيل حروب أهلية وتشنجات سببتها قبائل متناحرة رأت نفسها متضررة من هذا التغيير مثل قبائل المغرب الأقصى التي تحالفت مع قرطبة. حتى داخل القبيلة صنهاجة اشتعلت بعد بضع سنوات خلافات حول انتقال السلطة ونتيجة لهذا احتفظ المنصور الابن الأكبر لبولوغين بسلطة ما تبقى من المغرب الأقصى وحماد الابن الثاني جزء إفريقية.

وبالتالي أسس حماد بن بلكين بن مناد السلالة في 1014 وأعلنت نفسها مستقلة عن الزيريين ومعترف بها.

في عهد بلكين (1055-1062 م) توسعت الدولة إلى حدود المغرب الأقصى (مع تخوم فاس) ثم في عهد الناصر (1062-1088 م) بلغت تونس والقيروان كما امتدت أطراف الدولة جنوبا في الصحراء. قاد هؤلاء السلاطين حركة عمرانية كبيرة كما بلغت الدولة في عهدهم أوجها الثقافي منذ 1104 م ومع دخول عرب بنو هلال (مع سليم ورباح) المنطقة في العهد الزيري تزايد حجم الضغوطات لتنحسر رقعة الدولة إلى المنطقة الساحلية مع سيطرة اسمية على المناطق الداخلية.

سقط آخر السلاطين الحماديين «يحيى بن عبد العزيز» (1121-1152 م) بعد دخول الموحدين إلى عاصمته بجاية سنة 1152 م

النسب 

صنهاجة (أو قبائل صنهاجة) هي واحدة من أكبر القبائل الأمازيغية التي لعبت دورا مهما في تاريخ المغرب الأوسط والأقصى والصحراء الكبرى، بتأسيس الجيل الأول منها دولة بني زيري، وتأسيس الجيل الثاني منها مملكة أودغست الإسلامية ودولة المرابطين، وهي بالتالي من أشهر القبائل في المغرب وشمال أفريقيا. قال القلقشندي: . 

لم تكن صنهاجة في الواقع مجرد قبيلة عادية بل كانت شعبا عظيما ، حيث كانت بطون صنهاجة تنتشر بـبلاد شنقيط (موريتانيا حاليا) إلى حدود السنغال  ، وبالجزائر في ما بين المسيلة وتترى وميله، وكانت تسيطر على ذلك الطريق الموصل بين موريطنية سيتيفينسيس، وموريطانيا القيصرية ، كما كانت بطون أخرى تضرب في منطقة الأطلس الوسطى من تازا إلى إقليم بني ملال، وتستوطن منحدرات الأطلس الكبرى الجنوبية وتُوغِلُ جنوبا ساكنة الواحات الواقعة على أطراف الصحراء وتوغل في المغرب الأقصى في إقليم الريف حتى طنجة، كما كان بعضها ينزل حول آزمور، كانت بلادهم في القبلة مسيرة سبعة أشهر طولا، ومسيرة أربعة أشهر عرضا، من نول لمطة في أقصى المغرب، إلى قبلة إفريقية، وقبلة القيروان من بلاد إفريقية.

الحياة السياسية 

كانت الحياة السياسية مضطربة جدا في العصر الحمادي وكان هناك تنافس شديد بين أفراد العائلة الحمادية، فقد اقتتل الأميران محسن وبلقين ومات الأمير باديس مسموما، ويوسف بن حماد وبلقين بن محمد ثارا على الأمير محسن، وبلبار بن علناس وأبا يكني بن محسن وويقلان بن محسن ثاروا على الأمير منصور فحدتث الكثير من الحروب الأهلية وبجانب هذه الحروب الأهلية وقعت معارك كثيرة بين الحماديين والزيريين والمرابطين وصقليين وقبائل زناتة وبني هلال وتغيرت علاقات أهل المغرب الأوسط مع الفاطميين والعباسيين.

تطور حدود الدولة الحمادية 

كانت الدولة الحمادية منذ تأسيسها إلى وفاة الأمير محسن بن قائد تشتمل على المدن والمناطق التالية: قلعة بني حماد، المسيلة، طبنة، مزاب، اشير، تاهرت، مرسى الدجاج، بلد الزواوة، مقرة، دكامة، بلزمة، وسوق حمزة، في عهد بلقين بن محمد خضعت مدينة فاس المغرب الاقصى للسلطة الحمادية ،في عهد الناصر بن علناس توسعت الدولة الحمادية توسعا كبيرا حيث تم تأسيس مدينة بجاية و فتح كل من مدينة مليانة، نقاوس، قسنطينة، الجزائر العاصمة، بسكرة، صفاقس، قسطيلية، تونس والقيروان.
اما في عهد الامراء الذين خلفوا الناصر لم يتغير الكثير سوى فتح مدينة بونة (عنابة حاليا) في عهد المنصور وخضوع أهل جربة في عهد العزيز، أما في عهد الأمراء الذين خلفوا الناصر فلم يتغير الكثير سوى فتح مدينة بونة (عنابة حاليا) في عهد المنصور، كما امتدت أطراف الحماديين جنوبًا في الصحراء الكبرى.

قائمة السلاطين

المراجع والمصادر 

 Islam: Kunst und Architektur
 الحماديون

الجزائر الوسيطة
انحلالات سنة 1152
دول سابقة في إفريقيا
دول وأقاليم انحلت في 1152
دول وأقاليم أسست في عقد 1010
سلالات حاكمة أمازيغية",politics,حسام_عبدالمحسن_آل_سميح
"الأسرة العلوية هي سلالة مصرية ذات أصول ألبانية أسسها محمد علي باشا من الباشوات والخديويات من نواب السلطان حكمت في مصر تحت السلطة الاسمية للعثمانيين ما بين 1805 - 1914. ثم تحت الحماية البريطانية ما بين 1914 - 1922، وبعد استقلال مصر في 28 فبراير 1922، إلى أن اطيح بحكمها عام 1952 إثر حركة يوليو بقيادة محمد نجيب.

بعدما استطاع مؤسس السلالة محمد علي باشا (1805 - 1849) أن يستقل بمصر عن العثمانيين، تمكن حفيده إسماعيل (1863 - 1879) بعام 1867 أن يجسد جهود أجداده فأصبح استقلال مصر فعليًا. واصل الخديوي توفيق (1879 - 1892) ثم ابنه عباس حلمي باشا الثاني (1892 - 1914) على هذا الطريق وكمّلا بناء الدولة الحديثة. وبسبب المشاريع الضخمة مثل قناة السويس، وفتح السودان، بناء السكك الحديدية والمتاحف، ومحاولة تقليد نظام أوروبا الحضاري، أصبحت مصر مدينة بأموال ضخمة لكبرى القوى الأوروبية (فرنسا وبريطانيا). كان ذلك السبب المباشر لدخول القوات البريطانية إلى مصر سنة 1882. ثم أصبحت مصر منذ 1914 تحت الحماية البريطانية. أدت هذه الأوضاع إلى قيام العديد من الثورات الشعبية ضد الاحتلال. وفي عام 1914 أصبحت مصر سلطنة وحكم كل من حسين كامل (1914 - 1917) وفؤاد الأول (1917 - 1936). وبعام 1922 أعلن فؤاد الأول نفسه ملكاً على مصر. انتهى عهد الملكية في مصر مع قيام حركة يوليو سنة 1952 وتمت الإطاحة بالملك فاروق الأول (1936 - 1952) وإعلان جمهورية مصر .

قائمة الحكام

شجرة العائلة

مراجع 

 Islam: Kunst und Architektur
 الباشوات

حكام مصر من الأسرة العلوية
عائلات ملكية عربية
ولاة مصر العثمانية",politics,حسام_عبدالمحسن_آل_سميح
